R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51
-0.0470148,-0.00484,0.0854682,0.06711409,-0.0251,-0.011859791,-0.0318121,0.002984,-0.0242801,-0.0037181,-0.034059,0.00011557,0.003247205,-0.0296483,0.026805,-0.0134957,0.020215,0.00016159,-0.00626,0.03100216,0.02980327,0.02948905,-0.0015166,-0.002459,-0.01576,-0.0116834,-0.0186079,0,-0.026448,0.00610582,-0.00415,-0.0181185,-0.0190265,-0.0021558,-0.0017381,0.01895819,0.000759,-0.0062598,-0.0156304,0.05263158,0.00610004,0.03502457,-0.0166,-0.0195171,-0.0111667,-0.01644,-0.013372156,0.02150538,0.03033006,-0.01232,0.0300622
0.01542293,-0.00493,-0.2366226,-0.1132075,0,0.011290896,-0.0125036,0.011875,0.00694444,0.03164514,0.03198837,-0.0062399,-0.014750081,0.00485189,-0.01362,0.00116238,-0.03116,0.01269872,0.015433,-0.0907692,0.00022064,0.00226886,-0.000701,-0.0084908,-0.01677,-0.0344742,-0.0068189,0.07329843,-0.0048692,-0.0257367,0,-0.0007814,0.00345813,0.00864198,-0.0101977,0.01654307,-0.00274,0.01543307,0.00741002,0.0403125,-0.0137429,0.0137765,0.00996543,0.0002552,0.01050189,-0.01178,0.022844027,0,0.03073593,-0.01232,0.01241194
-0.010566,0.012134,-0.0858209,0.04964539,-0.04758,-0.01432967,-0.0344892,0.014482,-0.01341,0.02393498,-0.0440296,0.04534884,-0.014220011,0.01456163,0.033102,-0.0186452,0.006597,-0.0228136,0.048077,0.01615136,-0.0184562,0.0008489,-0.0019876,0.04972376,0.00475,0.04192308,-0.0224559,-0.0097561,0.00516043,0.00559721,0.008333,0.02953561,-0.0403057,0.00520196,0.00954894,0.00146767,-0.01481,0.04807692,-0.0339755,-0.0447582,0.00696721,-0.0212415,-0.0158075,-0.0031892,0.00015397,-0.01675,-0.005343022,0.03157895,0.049979,-0.01232,0.01292247
0.0032418,-0.01067,0.03148688,-0.0945946,-0.0475,0.00606493,-0.0030177,-0.00242,-0.0066019,-0.0514293,-0.027266,-0.0216908,0.035134492,-0.0182351,-0.02166,-0.0184954,-0.00495,0.01590152,-0.02338,0.03194066,9.36E-05,0.00395816,-0.0130037,-0.0026316,-0.02557,-0.0084287,-0.0222639,-0.0246305,-0.0051605,-0.0350868,0.016116,-0.0042653,0.01623731,-0.0319635,0.02563783,-0.0147414,-0.02359,-0.0233797,-0.0474982,-0.0927673,-0.022792,0.00424614,-0.011867,-0.0020476,0.00037203,-0.0023,-0.018371294,0.01020408,0.032,-0.01232,-0.0399084
-0.0210036,0.022713,-0.0197852,0.05223881,0.052451,0.007092199,0.00158444,-0.01138,-0.0103597,-0.0298469,-0.0049242,0.00170551,-0.026721244,-0.0076923,-0.01298,-0.0089726,0.004251,0.02879825,-0.03485,0.00146692,-0.0309363,0.02759786,-0.005816,0.00620053,-0.0205,-0.0176211,-0.0010363,0.02020202,-0.0082623,0.01079326,-0.00773,-0.0224739,-0.0239668,-0.036478,0.04647494,-0.0273427,-0.01031,-0.0348485,-0.0475828,-0.0003466,-0.002499,-0.0201342,-0.0163578,-0.0115414,0.02215953,0.009419,-0.000875561,-0.020202,0.02635659,-0.01232,-0.0013629
0.01737695,-0.00167,0.00288351,0,0.052288,-0.004665493,-0.0150135,-0.01079,-0.009283,0.00655623,0.01370384,-0.0238365,-0.005008978,-0.0185892,0.003094,0.01669713,0.016949,0.00162454,0.016954,0.05903032,-0.0085994,-0.0005481,-0.0220869,0.00891569,-0.02386,-0.0109265,-0.0048033,0.02970297,-0.0053653,-0.0358788,-0.02848,-0.0075635,-0.0075555,0.0022846,-0.0361781,-0.0127288,0.003125,0.01695447,-0.0655476,-0.1019417,0.00083507,0.02726027,0.01147248,0.00012974,0.00015055,-0.01223,0.010406397,-0.0103093,-0.0936556,-0.01232,-0.028318
-0.0075382,0.015597,-0.0238643,0.04964539,0.052019,0.018837888,-0.0136438,0.012393,0.01275917,0.01954057,-0.0424333,-0.1046512,0.004701748,-0.0280583,-0.01288,-0.0231478,0.040317,0.03237578,0.043841,0.0197787,0.01662671,0.02056485,0.01965572,0.01104613,0.012219,-0.0001916,0.0111952,0.00480769,0.00566534,-0.0007372,-0.00802,0.02147221,-0.000793,-0.0315858,-0.0259865,0.02747153,0.013846,0.04384069,0.00085543,0.01158301,0.02211097,0.02620349,0.00993757,0.01919834,0.01747366,-0.01105,0.007805724,-0.0104167,0.13333333,-0.01232,0.01825843
-0.0155754,-0.01334,-0.0388807,0.0472973,0.051661,0.008854167,0.00266513,0.021452,-0.0011811,0.0232145,-0.0272549,0.06766234,0.002647128,0.00943409,0.023824,-0.0446535,-0.04298,-0.0040182,0.026324,-0.0055608,0.01597132,-0.0094035,0.00419061,-0.0128535,0.030281,0.01692534,-0.0013274,0.02870813,-0.0243666,-0.0163212,-0.00043,-0.0213761,0.00746032,0.00975118,-0.0679348,-0.020086,-0.02342,0.02632357,-0.007265,-0.0038168,0.04530612,-0.0511338,-0.0252949,-0.0266005,0.03990729,0.014783,0.025494836,0.07368421,-0.0808824,-0.01232,0.00517241
0.05283719,-0.01774,-0.0802942,0.0516129,0.052632,0.004990535,-0.0215631,-0.02545,0.02029957,-0.0382137,0.00342673,0.04853424,0.034038942,0.01564774,0.029297,-0.0598176,0.063823,0.01859492,-0.01988,0.0212766,-0.0208723,0.01681584,-0.0011923,-0.0018229,-0.03684,-0.0013817,0.01972568,0.03255814,0.03356724,-0.0043026,-0.00021,0.03896654,0.01843391,0.00566101,-0.0169626,0.03520362,0.006678,-0.0198847,-0.0895394,0.00766284,-0.0866849,0.00486168,0.025,0.00536088,-0.0034736,0.036007,-0.028637365,-0.0196078,-0.054,-0.01232,0.19862779
-0.0630798,-0.01357,0.09396868,0.04907975,0.032,-0.015410959,0.01072558,-0.01863,0.00135213,-0.0321466,0.0174769,-0.0930394,-0.024255688,-0.0232677,-0.2833,-0.0368622,-0.03979,-0.0291253,-0.07762,0.00787927,-0.0439836,-0.104828,0.00847559,0.00443517,-0.04536,-0.0314465,-0.0250572,0.02702703,-0.0103178,-8.81E-05,-0.02128,-0.1112341,-0.0068069,-0.0261589,-0.0985441,-0.0904799,-0.02714,-0.0776242,-0.0780142,-0.0380228,-0.1436511,-0.0176491,-0.0007219,-0.0330342,-0.0142284,0.001542,-0.027969762,-0.05,0,-0.01232,-0.2100744
